,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team,wwages,awages,age
100,2023-03-05,18:00,Serie A,Matchweek 25,Sun,Home,W,2.0,0.0,Lecce,0.8,0.6,62.0,75033.0,Lautaro Martínez,3-5-2,Gianluca Manganiello,Match Report,,14.0,4.0,17.9,1.0,0,0,2023,Internazionale,2580000,134160000,28.8
101,2023-03-10,20:45,Serie A,Matchweek 26,Fri,Away,L,1.0,2.0,Spezia,3.8,1.0,69.0,11767.0,Samir Handanović,3-5-2,Livio Marinelli,Match Report,,26.0,5.0,16.9,0.0,1,2,2023,Internazionale,2580000,134160000,28.8
102,2023-03-19,20:45,Serie A,Matchweek 27,Sun,Home,L,0.0,1.0,Juventus,1.2,0.6,69.0,75224.0,Marcelo Brozović,3-5-2,Daniele Chiffi,Match Report,,18.0,3.0,19.9,2.0,0,0,2023,Internazionale,2580000,134160000,28.8
103,2023-04-01,18:00,Serie A,Matchweek 28,Sat,Home,L,0.0,1.0,Fiorentina,2.8,1.1,59.0,73576.0,Marcelo Brozović,3-5-2,Fabio Maresca,Match Report,,16.0,3.0,12.7,1.0,0,0,2023,Internazionale,2580000,134160000,28.8
104,2023-04-07,17:00,Serie A,Matchweek 29,Fri,Away,D,1.0,1.0,Salernitana,2.8,1.1,56.0,23702.0,Stefan de Vrij,3-5-2,Michael Fabbri,Match Report,,25.0,11.0,13.7,0.0,0,0,2023,Internazionale,2580000,134160000,28.8
105,2023-04-15,20:45,Serie A,Matchweek 30,Sat,Home,L,0.0,1.0,Monza,2.1,0.7,56.0,74135.0,Stefan de Vrij,3-5-2,Luca Pairetto,Match Report,,25.0,6.0,18.4,1.0,0,0,2023,Internazionale,2580000,134160000,28.8
106,2023-04-23,12:30,Serie A,Matchweek 31,Sun,Away,W,3.0,0.0,Empoli,1.1,0.9,60.0,15337.0,Samir Handanović,3-5-2,Livio Marinelli,Match Report,,16.0,4.0,18.9,0.0,0,0,2023,Internazionale,2580000,134160000,28.8
107,2023-04-30,12:30,Serie A,Matchweek 32,Sun,Home,W,3.0,1.0,Lazio,3.1,0.8,62.0,75500.0,Danilo D'Ambrosio,3-5-2,Marco Guida,Match Report,,25.0,9.0,15.9,0.0,0,0,2023,Internazionale,2580000,134160000,28.8
108,2023-05-03,21:00,Serie A,Matchweek 33,Wed,Away,W,6.0,0.0,Hellas Verona,2.4,0.5,74.0,19409.0,Samir Handanović,3-5-2,Daniele Orsato,Match Report,,20.0,10.0,14.5,0.0,0,0,2023,Internazionale,2580000,134160000,28.8
109,2023-05-06,18:00,Serie A,Matchweek 34,Sat,Away,W,2.0,0.0,Roma,0.7,0.9,49.0,61870.0,Marcelo Brozović,3-5-2,Fabio Maresca,Match Report,,10.0,4.0,21.0,0.0,0,0,2023,Internazionale,2580000,134160000,28.8
110,2023-05-13,20:45,Serie A,Matchweek 35,Sat,Home,W,4.0,2.0,Sassuolo,1.4,2.3,51.0,71246.0,Samir Handanović,3-5-2,Matteo Marcenaro,Match Report,,11.0,3.0,16.7,0.0,0,0,2023,Internazionale,2580000,134160000,28.8
111,2023-05-21,18:00,Serie A,Matchweek 36,Sun,Away,L,1.0,3.0,Napoli,0.6,1.7,30.0,50000.0,Danilo D'Ambrosio,3-5-2,Livio Marinelli,Match Report,,6.0,1.0,21.0,0.0,0,0,2023,Internazionale,2580000,134160000,28.8
112,2023-05-27,20:45,Serie A,Matchweek 37,Sat,Home,W,3.0,2.0,Atalanta,2.8,1.0,51.0,72192.0,Danilo D'Ambrosio,3-5-2,Daniele Orsato,Match Report,,20.0,11.0,18.9,2.0,0,0,2023,Internazionale,2580000,134160000,28.8
113,2023-06-03,18:30,Serie A,Matchweek 38,Sat,Away,W,1.0,0.0,Torino,1.0,1.1,59.0,24528.0,Samir Handanović,3-5-2,Michael Fabbri,Match Report,,14.0,4.0,17.2,0.0,0,0,2023,Internazionale,2580000,134160000,28.8
114,2022-08-13,18:30,Serie A,Matchweek 1,Sat,Home,W,4.0,2.0,Udinese,2.3,0.5,59.0,70197.0,Davide Calabria,4-2-3-1,Livio Marinelli,Match Report,,13.0,4.0,19.6,2.0,1,1,2023,Milan,1602885,83350000,26.0
115,2022-08-21,20:45,Serie A,Matchweek 2,Sun,Away,D,1.0,1.0,Atalanta,1.3,0.5,60.0,19216.0,Davide Calabria,4-2-3-1,Fabio Maresca,Match Report,,18.0,7.0,20.3,0.0,0,0,2023,Milan,1602885,83350000,26.0
116,2022-08-27,20:45,Serie A,Matchweek 3,Sat,Home,W,2.0,0.0,Bologna,1.9,0.5,48.0,70430.0,Davide Calabria,4-2-3-1,Gianluca Manganiello,Match Report,,19.0,7.0,15.1,0.0,0,0,2023,Milan,1602885,83350000,26.0
117,2022-08-30,18:30,Serie A,Matchweek 4,Tue,Away,D,0.0,0.0,Sassuolo,0.7,1.1,62.0,18053.0,Theo Hernández,4-2-3-1,Giovanni Ayroldi,Match Report,,11.0,2.0,18.8,1.0,0,0,2023,Milan,1602885,83350000,26.0
118,2022-09-03,18:00,Serie A,Matchweek 5,Sat,Home,W,3.0,2.0,Inter,1.3,1.8,47.0,75475.0,Davide Calabria,4-2-3-1,Daniele Chiffi,Match Report,,21.0,5.0,16.7,1.0,0,0,2023,Milan,1602885,83350000,26.0
119,2022-09-10,20:45,Serie A,Matchweek 6,Sat,Away,W,2.0,1.0,Sampdoria,1.7,0.7,43.0,23049.0,Davide Calabria,4-2-3-1,Michael Fabbri,Match Report,,14.0,3.0,15.1,0.0,1,1,2023,Milan,1602885,83350000,26.0
120,2022-09-18,20:45,Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Napoli,2.6,1.4,51.0,72573.0,Davide Calabria,4-2-3-1,Maurizio Mariani,Match Report,,22.0,5.0,13.8,1.0,0,0,2023,Milan,1602885,83350000,26.0
121,2022-10-01,20:45,Serie A,Matchweek 8,Sat,Away,W,3.0,1.0,Empoli,2.3,1.1,57.0,15497.0,Davide Calabria,4-2-3-1,Gianluca Aureliano,Match Report,,19.0,6.0,19.1,3.0,0,0,2023,Milan,1602885,83350000,26.0
122,2022-10-08,18:00,Serie A,Matchweek 9,Sat,Home,W,2.0,0.0,Juventus,2.2,0.8,40.0,75530.0,Theo Hernández,4-3-2-1,Daniele Orsato,Match Report,,21.0,3.0,17.0,0.0,0,0,2023,Milan,1602885,83350000,26.0
123,2022-10-16,20:45,Serie A,Matchweek 10,Sun,Away,W,2.0,1.0,Hellas Verona,1.9,2.1,54.0,22904.0,Theo Hernández,4-2-3-1,Davide Massa,Match Report,,16.0,6.0,19.7,0.0,0,0,2023,Milan,1602885,83350000,26.0
124,2022-10-22,18:00,Serie A,Matchweek 11,Sat,Home,W,4.0,1.0,Monza,1.1,1.2,49.0,72938.0,Theo Hernández,4-2-3-1,Livio Marinelli,Match Report,,12.0,7.0,17.1,0.0,0,0,2023,Milan,1602885,83350000,26.0
125,2022-10-30,20:45,Serie A,Matchweek 12,Sun,Away,L,1.0,2.0,Torino,1.1,0.6,56.0,26133.0,Theo Hernández,4-2-3-1,Rosario Abisso,Match Report,,12.0,1.0,20.9,1.0,0,0,2023,Milan,1602885,83350000,26.0
126,2022-11-05,20:45,Serie A,Matchweek 13,Sat,Home,W,2.0,1.0,Spezia,2.2,1.6,58.0,71099.0,Theo Hernández,4-2-3-1,Michael Fabbri,Match Report,,23.0,10.0,17.1,1.0,0,0,2023,Milan,1602885,83350000,26.0
127,2022-11-08,20:45,Serie A,Matchweek 14,Tue,Away,D,0.0,0.0,Cremonese,1.0,0.3,71.0,14610.0,Ismaël Bennacer,3-4-1-2,Antonio Rapuano,Match Report,,16.0,5.0,18.6,0.0,0,0,2023,Milan,1602885,83350000,26.0
128,2022-11-13,18:00,Serie A,Matchweek 15,Sun,Home,W,2.0,1.0,Fiorentina,1.5,0.5,50.0,73007.0,Theo Hernández,4-2-3-1,Simone Sozza,Match Report,,12.0,2.0,20.9,0.0,0,0,2023,Milan,1602885,83350000,26.0
129,2023-01-04,12:30,Serie A,Matchweek 16,Wed,Away,W,2.0,1.0,Salernitana,2.7,0.7,56.0,29541.0,Davide Calabria,4-2-3-1,Francesco Fourneau,Match Report,,16.0,10.0,16.7,1.0,0,0,2023,Milan,1602885,83350000,26.0
130,2023-01-08,20:45,Serie A,Matchweek 17,Sun,Home,D,2.0,2.0,Roma,0.9,1.2,60.0,74103.0,Davide Calabria,4-2-3-1,Davide Massa,Match Report,,12.0,5.0,17.3,1.0,0,0,2023,Milan,1602885,83350000,26.0
131,2023-01-14,18:00,Serie A,Matchweek 18,Sat,Away,D,2.0,2.0,Lecce,1.4,1.4,65.0,25942.0,Davide Calabria,4-2-3-1,Daniele Orsato,Match Report,,12.0,5.0,16.2,0.0,0,0,2023,Milan,1602885,83350000,26.0
132,2023-01-24,20:45,Serie A,Matchweek 19,Tue,Away,L,0.0,4.0,Lazio,0.7,3.1,50.0,47000.0,Davide Calabria,4-2-3-1,Marco Di Bello,Match Report,,10.0,3.0,20.4,1.0,0,0,2023,Milan,1602885,83350000,26.0
133,2023-01-29,12:30,Serie A,Matchweek 20,Sun,Home,L,2.0,5.0,Sassuolo,0.6,2.2,60.0,70428.0,Davide Calabria,4-2-3-1,Antonio Giua,Match Report,,9.0,5.0,18.9,0.0,0,0,2023,Milan,1602885,83350000,26.0
134,2023-02-05,20:45,Serie A,Matchweek 21,Sun,Away,L,0.0,1.0,Inter,0.3,0.9,36.0,75584.0,Davide Calabria,3-5-2,Davide Massa,Match Report,,4.0,0.0,21.6,2.0,0,0,2023,Milan,1602885,83350000,26.0
135,2023-02-10,20:45,Serie A,Matchweek 22,Fri,Home,W,1.0,0.0,Torino,1.3,0.8,46.0,68268.0,Theo Hernández,3-4-3,Giovanni Ayroldi,Match Report,,9.0,4.0,13.5,0.0,0,0,2023,Milan,1602885,83350000,26.0
136,2023-02-18,18:00,Serie A,Matchweek 23,Sat,Away,W,1.0,0.0,Monza,2.1,0.5,41.0,14012.0,Theo Hernández,3-4-3,Antonio Rapuano,Match Report,,14.0,7.0,13.9,0.0,0,0,2023,Milan,1602885,83350000,26.0
137,2023-02-26,20:45,Serie A,Matchweek 24,Sun,Home,W,2.0,0.0,Atalanta,1.8,0.1,48.0,72203.0,Theo Hernández,3-4-3,Maurizio Mariani,Match Report,,13.0,3.0,17.9,1.0,0,0,2023,Milan,1602885,83350000,26.0
138,2023-03-04,20:45,Serie A,Matchweek 25,Sat,Away,L,1.0,2.0,Fiorentina,0.9,2.1,52.0,40410.0,Theo Hernández,3-4-3,Marco Di Bello,Match Report,,8.0,6.0,15.8,1.0,0,0,2023,Milan,1602885,83350000,26.0
139,2023-03-13,20:45,Serie A,Matchweek 26,Mon,Home,D,1.0,1.0,Salernitana,2.2,0.8,64.0,71870.0,Theo Hernández,3-4-3,Federico La Penna,Match Report,,24.0,3.0,18.8,1.0,0,0,2023,Milan,1602885,83350000,26.0
140,2023-03-18,20:45,Serie A,Matchweek 27,Sat,Away,L,1.0,3.0,Udinese,1.5,1.8,64.0,24992.0,Zlatan Ibrahimović,3-4-3,Daniele Doveri,Match Report,,9.0,5.0,21.7,1.0,1,1,2023,Milan,1602885,83350000,26.0
141,2023-04-02,20:45,Serie A,Matchweek 28,Sun,Away,W,4.0,0.0,Napoli,2.1,1.2,40.0,51466.0,Davide Calabria,4-2-3-1,Antonio Rapuano,Match Report,,14.0,8.0,18.1,0.0,0,0,2023,Milan,1602885,83350000,26.0
142,2023-04-07,21:00,Serie A,Matchweek 29,Fri,Home,D,0.0,0.0,Empoli,1.9,0.1,70.0,70286.0,Davide Calabria,4-2-3-1,Matteo Marcenaro,Match Report,,23.0,4.0,17.2,0.0,0,0,2023,Milan,1602885,83350000,26.0
143,2023-04-15,15:00,Serie A,Matchweek 30,Sat,Away,D,1.0,1.0,Bologna,1.4,0.6,49.0,29024.0,Ante Rebić,4-2-3-1,Davide Massa,Match Report,,19.0,5.0,18.4,1.0,0,0,2023,Milan,1602885,83350000,26.0
144,2023-04-23,18:00,Serie A,Matchweek 31,Sun,Home,W,2.0,0.0,Lecce,0.8,1.2,68.0,72614.0,Theo Hernández,4-2-3-1,Daniele Chiffi,Match Report,,8.0,5.0,17.3,0.0,0,0,2023,Milan,1602885,83350000,26.0
145,2023-04-29,18:00,Serie A,Matchweek 32,Sat,Away,D,1.0,1.0,Roma,1.0,1.0,63.0,64191.0,Davide Calabria,4-2-3-1,Daniele Orsato,Match Report,,11.0,1.0,17.6,1.0,0,0,2023,Milan,1602885,83350000,26.0
146,2023-05-03,21:00,Serie A,Matchweek 33,Wed,Home,D,1.0,1.0,Cremonese,1.6,1.2,73.0,68136.0,Davide Calabria,4-2-3-1,Luca Pairetto,Match Report,,18.0,5.0,18.3,1.0,0,0,2023,Milan,1602885,83350000,26.0
147,2023-05-06,15:00,Serie A,Matchweek 34,Sat,Home,W,2.0,0.0,Lazio,0.8,1.2,52.0,72365.0,Davide Calabria,4-2-3-1,Antonio Rapuano,Match Report,,10.0,3.0,17.1,0.0,0,0,2023,Milan,1602885,83350000,26.0
148,2023-05-13,18:00,Serie A,Matchweek 35,Sat,Away,L,0.0,2.0,Spezia,1.0,1.8,59.0,11366.0,Theo Hernández,4-2-3-1,Daniele Doveri,Match Report,,14.0,3.0,19.3,1.0,0,0,2023,Milan,1602885,83350000,26.0
149,2023-05-20,20:45,Serie A,Matchweek 36,Sat,Home,W,5.0,1.0,Sampdoria,3.8,0.6,62.0,72105.0,Davide Calabria,4-2-3-1,Francesco Fourneau,Match Report,,18.0,8.0,14.8,1.0,1,1,2023,Milan,1602885,83350000,26.0
150,2023-05-28,20:45,Serie A,Matchweek 37,Sun,Away,W,1.0,0.0,Juventus,0.5,0.9,52.0,40231.0,Davide Calabria,4-2-3-1,Maurizio Mariani,Match Report,,9.0,3.0,17.1,1.0,0,0,2023,Milan,1602885,83350000,26.0
151,2023-06-04,21:00,Serie A,Matchweek 38,Sun,Home,W,3.0,1.0,Hellas Verona,2.4,0.8,77.0,72102.0,Davide Calabria,4-2-3-1,Paolo Valeri,Match Report,,13.0,4.0,21.4,1.0,1,1,2023,Milan,1602885,83350000,26.0
152,2022-08-13,18:30,Serie A,Matchweek 1,Sat,Away,W,2.0,0.0,Sampdoria,2.2,1.0,45.0,20047.0,Rafael Tolói,3-4-1-2,Federico Dionisi,Match Report,,9.0,3.0,14.4,0.0,0,0,2023,Atalanta,785327,40837000,26.5
153,2022-08-21,20:45,Serie A,Matchweek 2,Sun,Home,D,1.0,1.0,Milan,0.5,1.3,40.0,19216.0,Rafael Tolói,3-4-3,Fabio Maresca,Match Report,,11.0,2.0,18.9,0.0,0,0,2023,Atalanta,785327,40837000,26.5
154,2022-08-28,18:30,Serie A,Matchweek 3,Sun,Away,W,1.0,0.0,Hellas Verona,0.8,0.5,51.0,16106.0,Rafael Tolói,3-4-3,Alessandro Prontera,Match Report,,15.0,7.0,18.9,0.0,0,0,2023,Atalanta,785327,40837000,26.5
155,2022-09-01,20:45,Serie A,Matchweek 4,Thu,Home,W,3.0,1.0,Torino,2.9,0.4,41.0,17928.0,Rafael Tolói,3-4-3,Marco Di Bello,Match Report,,10.0,3.0,18.8,0.0,2,2,2023,Atalanta,785327,40837000,26.5
156,2022-09-05,18:30,Serie A,Matchweek 5,Mon,Away,W,2.0,0.0,Monza,1.9,0.6,41.0,11970.0,Rafael Tolói,4-2-3-1,Juan Sacchi,Match Report,,13.0,6.0,15.2,0.0,0,0,2023,Atalanta,785327,40837000,26.5
157,2022-09-11,12:30,Serie A,Matchweek 6,Sun,Home,D,1.0,1.0,Cremonese,0.7,0.6,58.0,18252.0,Rafael Tolói,3-4-3,Andrea Colombo,Match Report,,14.0,6.0,19.5,1.0,0,0,2023,Atalanta,785327,40837000,26.5
158,2022-09-18,18:00,Serie A,Matchweek 7,Sun,Away,W,1.0,0.0,Roma,0.2,2.4,44.0,61335.0,Rafael Tolói,3-4-3,Daniele Chiffi,Match Report,,4.0,1.0,25.1,0.0,0,0,2023,Atalanta,785327,40837000,26.5
159,2022-10-02,18:00,Serie A,Matchweek 8,Sun,Home,W,1.0,0.0,Fiorentina,1.3,0.7,39.0,18265.0,Rafael Tolói,3-4-1-2,Massimiliano Irrati,Match Report,,10.0,5.0,15.5,1.0,0,0,2023,Atalanta,785327,40837000,26.5
160,2022-10-09,15:00,Serie A,Matchweek 9,Sun,Away,D,2.0,2.0,Udinese,2.1,1.0,41.0,24671.0,Marten de Roon,3-4-1-2,Daniele Doveri,Match Report,,8.0,4.0,18.5,2.0,1,1,2023,Atalanta,785327,40837000,26.5
161,2022-10-15,20:45,Serie A,Matchweek 10,Sat,Home,W,2.0,1.0,Sassuolo,2.5,0.8,48.0,17772.0,Marten de Roon,3-4-1-2,Matteo Marcenaro,Match Report,,16.0,4.0,13.8,0.0,0,0,2023,Atalanta,785327,40837000,26.5
162,2022-10-23,18:00,Serie A,Matchweek 11,Sun,Home,L,0.0,2.0,Lazio,0.8,0.9,47.0,18988.0,Marten de Roon,3-4-1-2,Rosario Abisso,Match Report,,7.0,0.0,14.1,0.0,0,0,2023,Atalanta,785327,40837000,26.5
163,2022-10-30,12:30,Serie A,Matchweek 12,Sun,Away,W,2.0,0.0,Empoli,3.0,0.8,47.0,8740.0,Rafael Tolói,3-5-2,Giovanni Ayroldi,Match Report,,19.0,5.0,16.2,1.0,0,1,2023,Atalanta,785327,40837000,26.5
164,2022-11-05,18:00,Serie A,Matchweek 13,Sat,Home,L,1.0,2.0,Napoli,2.0,1.3,47.0,19363.0,Rafael Tolói,3-4-1-2,Maurizio Mariani,Match Report,,15.0,3.0,19.5,0.0,1,1,2023,Atalanta,785327,40837000,26.5
165,2022-11-09,18:30,Serie A,Matchweek 14,Wed,Away,L,1.0,2.0,Lecce,1.5,1.1,61.0,23797.0,Marten de Roon,3-4-3,Gianluca Aureliano,Match Report,,12.0,4.0,19.3,0.0,0,0,2023,Atalanta,785327,40837000,26.5
166,2022-11-13,12:30,Serie A,Matchweek 15,Sun,Home,L,2.0,3.0,Inter,1.8,2.2,47.0,19353.0,Hans Hateboer,4-2-3-1,Daniele Chiffi,Match Report,,17.0,6.0,19.4,1.0,1,1,2023,Atalanta,785327,40837000,26.5
167,2023-01-04,14:30,Serie A,Matchweek 16,Wed,Away,D,2.0,2.0,Spezia,2.1,1.5,64.0,7417.0,Rafael Tolói,3-4-1-2,Antonio Giua,Match Report,,19.0,3.0,13.2,0.0,0,0,2023,Atalanta,785327,40837000,26.5
168,2023-01-09,20:45,Serie A,Matchweek 17,Mon,Away,W,2.0,1.0,Bologna,0.5,0.5,49.0,16953.0,Rafael Tolói,3-4-1-2,Marco Di Bello,Match Report,,7.0,3.0,16.6,0.0,0,0,2023,Atalanta,785327,40837000,26.5
169,2023-01-15,18:00,Serie A,Matchweek 18,Sun,Home,W,8.0,2.0,Salernitana,2.9,1.0,57.0,18499.0,Rafael Tolói,3-4-3,Gianluca Aureliano,Match Report,,17.0,11.0,18.4,0.0,1,2,2023,Atalanta,785327,40837000,26.5
170,2023-01-22,20:45,Serie A,Matchweek 19,Sun,Away,D,3.0,3.0,Juventus,1.0,1.9,53.0,33565.0,Rafael Tolói,3-4-3,Livio Marinelli,Match Report,,14.0,4.0,17.7,0.0,0,0,2023,Atalanta,785327,40837000,26.5
171,2023-01-28,20:45,Serie A,Matchweek 20,Sat,Home,W,2.0,0.0,Sampdoria,1.8,0.8,61.0,19095.0,Rafael Tolói,3-4-3,Daniele Doveri,Match Report,,21.0,5.0,14.8,1.0,0,0,2023,Atalanta,785327,40837000,26.5
172,2023-02-04,20:45,Serie A,Matchweek 21,Sat,Away,L,0.0,1.0,Sassuolo,0.5,1.3,47.0,12611.0,Rafael Tolói,3-5-2,Matteo Marcenaro,Match Report,,7.0,2.0,14.8,1.0,0,0,2023,Atalanta,785327,40837000,26.5
173,2023-02-11,20:45,Serie A,Matchweek 22,Sat,Away,W,2.0,0.0,Lazio,2.8,0.9,40.0,41000.0,Rafael Tolói,3-5-2,Daniele Orsato,Match Report,,23.0,10.0,18.8,0.0,0,0,2023,Atalanta,785327,40837000,26.5
174,2023-02-19,12:30,Serie A,Matchweek 23,Sun,Home,L,1.0,2.0,Lecce,1.5,0.4,70.0,19435.0,Rafael Tolói,3-4-1-2,Marco Piccinini,Match Report,,20.0,10.0,16.8,0.0,0,0,2023,Atalanta,785327,40837000,26.5
175,2023-02-26,20:45,Serie A,Matchweek 24,Sun,Away,L,0.0,2.0,Milan,0.1,1.8,52.0,72203.0,Rafael Tolói,3-5-2,Maurizio Mariani,Match Report,,3.0,0.0,28.1,1.0,0,0,2023,Atalanta,785327,40837000,26.5
176,2023-03-04,18:00,Serie A,Matchweek 25,Sat,Home,D,0.0,0.0,Udinese,1.4,0.3,67.0,18475.0,Rafael Tolói,3-4-3,Davide Ghersini,Match Report,,17.0,5.0,14.9,0.0,0,0,2023,Atalanta,785327,40837000,26.5
177,2023-03-11,18:00,Serie A,Matchweek 26,Sat,Away,L,0.0,2.0,Napoli,0.3,1.3,40.0,50601.0,Rafael Tolói,3-4-1-2,Andrea Colombo,Match Report,,6.0,3.0,17.4,0.0,0,0,2023,Atalanta,785327,40837000,26.5
178,2023-03-17,20:45,Serie A,Matchweek 27,Fri,Home,W,2.0,1.0,Empoli,2.9,0.7,69.0,17864.0,Rafael Tolói,3-4-1-2,Federico Dionisi,Match Report,,27.0,5.0,15.0,2.0,0,0,2023,Atalanta,785327,40837000,26.5
179,2023-04-01,15:00,Serie A,Matchweek 28,Sat,Away,W,3.0,1.0,Cremonese,2.9,1.5,58.0,11891.0,Rafael Tolói,3-4-3,Livio Marinelli,Match Report,,12.0,4.0,13.7,0.0,0,0,2023,Atalanta,785327,40837000,26.5
180,2023-04-08,16:30,Serie A,Matchweek 29,Sat,Home,L,0.0,2.0,Bologna,1.3,1.3,49.0,18950.0,Marten de Roon,3-4-1-2,Daniele Orsato,Match Report,,15.0,6.0,18.5,0.0,0,0,2023,Atalanta,785327,40837000,26.5
181,2023-04-17,20:45,Serie A,Matchweek 30,Mon,Away,D,1.0,1.0,Fiorentina,0.5,1.9,39.0,29628.0,Rafael Tolói,3-4-1-2,Marco Guida,Match Report,,6.0,1.0,12.7,0.0,0,0,2023,Atalanta,785327,40837000,26.5
182,2023-04-24,20:45,Serie A,Matchweek 31,Mon,Home,W,3.0,1.0,Roma,0.9,1.0,37.0,19445.0,Rafael Tolói,3-5-1-1,Massimiliano Irrati,Match Report,,7.0,4.0,16.0,1.0,0,0,2023,Atalanta,785327,40837000,26.5
183,2023-04-29,20:45,Serie A,Matchweek 32,Sat,Away,W,2.0,1.0,Torino,0.5,0.3,38.0,20196.0,Rafael Tolói,3-4-3,Juan Sacchi,Match Report,,9.0,5.0,15.8,0.0,0,0,2023,Atalanta,785327,40837000,26.5
184,2023-05-03,18:00,Serie A,Matchweek 33,Wed,Home,W,3.0,2.0,Spezia,0.8,1.0,56.0,17417.0,Rafael Tolói,3-4-1-2,Livio Marinelli,Match Report,,14.0,6.0,13.9,0.0,0,0,2023,Atalanta,785327,40837000,26.5
185,2023-05-07,12:30,Serie A,Matchweek 34,Sun,Home,L,0.0,2.0,Juventus,1.1,1.0,59.0,19570.0,Rafael Tolói,3-4-3,Daniele Doveri,Match Report,,24.0,1.0,21.5,0.0,0,0,2023,Atalanta,785327,40837000,26.5
186,2023-05-13,15:00,Serie A,Matchweek 35,Sat,Away,L,0.0,1.0,Salernitana,1.2,0.5,48.0,17400.0,Rafael Tolói,3-4-3,Marco Piccinini,Match Report,,13.0,3.0,16.0,0.0,0,0,2023,Atalanta,785327,40837000,26.5
187,2023-05-20,18:00,Serie A,Matchweek 36,Sat,Home,W,3.0,1.0,Hellas Verona,1.4,0.9,60.0,9297.0,Rafael Tolói,3-4-3,Simone Sozza,Match Report,,13.0,5.0,17.0,0.0,0,0,2023,Atalanta,785327,40837000,26.5
188,2023-05-27,20:45,Serie A,Matchweek 37,Sat,Away,L,2.0,3.0,Inter,1.0,2.8,49.0,72192.0,Rafael Tolói,3-4-3,Daniele Orsato,Match Report,,12.0,3.0,18.5,1.0,0,0,2023,Atalanta,785327,40837000,26.5
189,2023-06-04,21:00,Serie A,Matchweek 38,Sun,Home,W,5.0,2.0,Monza,4.0,1.2,39.0,19389.0,Rafael Tolói,3-4-3,Marco Di Bello,Match Report,,20.0,10.0,16.0,0.0,0,0,2023,Atalanta,785327,40837000,26.5
190,2022-08-14,20:45,Serie A,Matchweek 1,Sun,Away,W,1.0,0.0,Salernitana,2.4,0.6,49.0,26006.0,Lorenzo Pellegrini,3-4-3,Simone Sozza,Match Report,,20.0,4.0,14.7,2.0,0,0,2023,Roma,1799423,93570000,27.4
191,2022-08-22,18:30,Serie A,Matchweek 2,Mon,Home,W,1.0,0.0,Cremonese,2.7,0.7,49.0,60859.0,Lorenzo Pellegrini,3-4-3,Luca Massimi,Match Report,,27.0,11.0,16.4,0.0,0,0,2023,Roma,1799423,93570000,27.4
192,2022-08-27,18:30,Serie A,Matchweek 3,Sat,Away,D,1.0,1.0,Juventus,1.3,0.6,43.0,41003.0,Lorenzo Pellegrini,3-4-3,Massimiliano Irrati,Match Report,,8.0,4.0,14.9,0.0,0,0,2023,Roma,1799423,93570000,27.4
193,2022-08-30,20:45,Serie A,Matchweek 4,Tue,Home,W,3.0,0.0,Monza,1.8,0.9,40.0,60669.0,Lorenzo Pellegrini,3-4-3,Marco Piccinini,Match Report,,15.0,8.0,14.5,0.0,0,0,2023,Roma,1799423,93570000,27.4
194,2022-09-04,20:45,Serie A,Matchweek 5,Sun,Away,L,0.0,4.0,Udinese,0.8,1.2,57.0,24108.0,Lorenzo Pellegrini,3-4-3,Fabio Maresca,Match Report,,12.0,2.0,13.4,0.0,0,0,2023,Roma,1799423,93570000,27.4
195,2022-09-12,20:45,Serie A,Matchweek 6,Mon,Away,W,2.0,1.0,Empoli,3.0,1.1,48.0,4560.0,Lorenzo Pellegrini,3-4-3,Livio Marinelli,Match Report,,12.0,6.0,14.2,0.0,0,1,2023,Roma,1799423,93570000,27.4
196,2022-09-18,18:00,Serie A,Matchweek 7,Sun,Home,L,0.0,1.0,Atalanta,2.4,0.2,56.0,61335.0,Lorenzo Pellegrini,3-4-3,Daniele Chiffi,Match Report,,21.0,5.0,17.7,0.0,0,0,2023,Roma,1799423,93570000,27.4
197,2022-10-01,18:00,Serie A,Matchweek 8,Sat,Away,W,2.0,1.0,Inter,1.0,1.0,42.0,75389.0,Lorenzo Pellegrini,3-4-3,Davide Massa,Match Report,,10.0,3.0,19.8,1.0,0,0,2023,Roma,1799423,93570000,27.4
198,2022-10-09,20:45,Serie A,Matchweek 9,Sun,Home,W,2.0,1.0,Lecce,3.2,0.3,66.0,64018.0,Lorenzo Pellegrini,3-4-3,Alessandro Prontera,Match Report,,19.0,5.0,16.5,0.0,1,1,2023,Roma,1799423,93570000,27.4
199,2022-10-17,18:30,Serie A,Matchweek 10,Mon,Away,W,1.0,0.0,Sampdoria,1.8,0.2,41.0,20803.0,Lorenzo Pellegrini,3-4-1-2,Marco Di Bello,Match Report,,6.0,3.0,15.1,0.0,1,1,2023,Roma,1799423,93570000,27.4
200,2022-10-23,20:45,Serie A,Matchweek 11,Sun,Home,L,0.0,1.0,Napoli,0.3,0.9,40.0,61633.0,Lorenzo Pellegrini,3-5-2,Massimiliano Irrati,Match Report,,6.0,0.0,21.4,0.0,0,0,2023,Roma,1799423,93570000,27.4
